ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma20_up,ma5_flat,ret,hv20,hv60,vol_expansion,vol_ma20,vol_shrink,vol_surge,obv,obv_ma20,price_new_low,obv_not_new_low,obv_divergence,rzye,rzye_chg,rzye_ma5,north_net,north_ma5,north_sum5,score,signal
000001.SH,2025-04-03,3342.0077,3319.6057,3358.4256,3319.6057,3350.1266,-8.1189,-0.2423460653695919,400517827.0,486510413.0,3345.52448,3376.7459900000003,3316.6678233333328,True,True,-0.002423460653695919,0.09351569222663665,0.13298632682153508,False,463743167.5,False,False,6324480316.0,7034629178.35,False,True,False,1891957391732.0,-0.004640378949707258,-0.002436805520262553,16.21978,15.5517008,77.758504,63.0,低吸
000001.SH,2025-04-07,3096.5762,3193.1024,3217.7818,3040.6932,3342.0077,-245.4315,-7.343834067168675,662199584.0,735367327.5,3294.5783600000004,3362.9475100000004,3313.901415,False,False,-0.07343834067168675,0.2753074492475166,0.19373639604709375,True,470969969.15,False,True,5662280732.0,6933912761.2,True,False,False,1843993502559.0,-0.025351463718266576,-0.0071038079542433685,22.9185,17.172211600000004,85.86105800000001,38.0,减仓
000001.SH,2025-04-08,3145.5491,3094.2619,3145.5491,3085.1229,3096.5762,48.9729,1.581517677491684,662242387.0,730166160.7,3256.53894,3351.9168149999996,3312.8034016666666,False,False,0.01581517677491684,0.28423021352718886,0.19415498076425966,True,481563046.9,False,True,6324523119.0,6888827505.0,False,True,False,1805376067851.0,-0.02094228350284788,-0.01089870740740786,26.926880999999998,18.9949426,94.97471300000001,38.0,减仓
000001.SH,2025-04-09,3186.8099,3110.0101,3186.8099,3070.0778,3145.5491,41.2608,1.3117201063559847,684797174.0,755430247.4,3224.2138999999997,3342.26589,3312.4681866666665,False,False,0.013117201063559847,0.2890860144281902,0.19606398646397774,True,493379489.45,False,True,7009320293.0,6855558691.35,False,True,False,1799555806351.0,-0.0032238499244803265,-0.011044020292358047,27.158585,21.307061799999996,106.53530899999998,38.0,减仓
000001.SH,2025-04-10,3223.6379,3227.8362,3239.9408,3201.5714,3186.8099,36.828,1.1556384332808811,591208273.0,682356544.8,3198.9161599999998,3334.85161,3312.368086666667,False,False,0.011556384332808811,0.2935356293856057,0.19696886506723194,True,497830148.1,False,False,7600528566.0,6876960046.35,False,True,False,1802311692576.0,0.0015314258192349328,-0.010525310055213422,22.101602,23.065069599999998,115.32534799999999,32.0,减仓
000001.SH,2025-04-11,3238.2268,3219.5053,3249.8536,3211.3497,3223.6379,14.5889,0.45256013400263306,475531804.0,580791402.2,3178.15998,3328.8265249999995,3312.5024016666666,False,False,0.004525601340026331,0.2943628376181968,0.19718264936235555,True,495656064.35,False,False,8076060370.0,6948088665.5,False,True,False,1798281073912.0,-0.00223636049225151,-0.010044506363722273,18.787254,23.578564399999998,117.892822,32.0,减仓
000001.SH,2025-04-14,3262.8075,3251.9779,3272.7203,3244.7327,3238.2268,24.5807,0.7590790120074242,471373220.0,543811431.5,3211.4062400000003,3320.98882,3313.359305,False,True,0.007590790120074242,0.28727588874148136,0.19737358127319618,True,490091555.95,False,False,8547433590.0,7013652776.25,False,True,False,1807097521743.0,0.0049027084580390845,-0.00399367192846114,16.364696,22.2678036,111.33901800000001,32.0,减仓
000001.SH,2025-04-15,3267.6623,3260.685,3268.9848,3246.3369,3262.8075,4.8548,0.14879210618463645,396662895.0,456332610.4,3235.82888,3313.0655099999994,3315.0116133333336,False,False,0.0014879210618463645,0.2871980811097184,0.19530876862709456,True,484140443.8,False,False,8944096485.0,7073265774.85,False,True,False,1807588705901.0,0.00027180832915219,0.00024914643793887413,13.400269,19.5624812,97.812406,36.0,减仓
000001.SH,2025-04-16,3276.0039,3267.665,3276.0045,3233.7911,3267.6623,8.3416,0.2552772971674555,429534854.0,489200692.7,3253.66768,3305.37774,3316.9324283333335,False,False,0.002552772971674555,0.28747181641647074,0.19524511294624708,True,482871383.35,False,False,9373631339.0,7131609713.0,False,True,False,1802409328915.0,-0.002865351486813106,0.00032084612547231826,15.788353,17.288434799999997,86.442174,36.0,减仓
000001.SH,2025-04-17,3280.3412,3261.7177,3285.9154,3258.1451,3276.0039,4.3373,0.13239605728185833,382012698.0,442596764.0,3265.0083399999994,3298.073345,3317.589115,False,False,0.0013239605728185833,0.2877096851189063,0.18835205172753477,True,479956203.3,False,False,9755644037.0,7231070101.0,False,True,False,1798996776533.0,-0.0018933281842555827,-0.0003641046752257848,11.778687,15.2238518,76.119259,36.0,减仓
